NAT_NAME,year,N_criminal,D_criminal,R_criminal,total_criminal,percent_detained_criminal,N_noncriminal,D_noncriminal,R_noncriminal,total_noncriminal,percent_detained_noncriminal
AFGHANISTAN,2003,10.0,26.0,13.0,49.0,79.6,102.0,5.0,14.0,121.0,15.7
AFGHANISTAN,2004,10.0,31.0,1.0,42.0,76.2,64.0,20.0,7.0,91.0,29.7
AFGHANISTAN,2005,5.0,33.0,3.0,41.0,87.8,34.0,4.0,8.0,46.0,26.1
AFGHANISTAN,2006,7.0,19.0,5.0,31.0,77.4,37.0,7.0,7.0,51.0,27.5
AFGHANISTAN,2007,3.0,27.0,4.0,34.0,91.2,47.0,6.0,4.0,57.0,17.5
AFGHANISTAN,2008,7.0,23.0,2.0,32.0,78.1,27.0,5.0,6.0,38.0,28.9
AFGHANISTAN,2009,6.0,27.0,3.0,36.0,83.3,40.0,7.0,10.0,57.0,29.8
AFGHANISTAN,2010,3.0,26.0,3.0,32.0,90.6,30.0,12.0,18.0,60.0,50.0
AFGHANISTAN,2011,6.0,23.0,7.0,36.0,83.3,45.0,14.0,12.0,71.0,36.6
AFGHANISTAN,2012,5.0,24.0,7.0,36.0,86.1,45.0,7.0,20.0,72.0,37.5
AFGHANISTAN,2013,6.0,18.0,5.0,29.0,79.3,30.0,6.0,14.0,50.0,40.0
AFGHANISTAN,2014,2.0,15.0,1.0,18.0,88.9,31.0,17.0,14.0,62.0,50.0
ALBANIA,2003,6.0,18.0,4.0,28.0,78.6,1172.0,92.0,178.0,1442.0,18.7
ALBANIA,2004,8.0,18.0,3.0,29.0,72.4,780.0,48.0,76.0,904.0,13.7
ALBANIA,2005,12.0,22.0,3.0,37.0,67.6,599.0,49.0,72.0,720.0,16.8
ALBANIA,2006,12.0,20.0,3.0,35.0,65.7,427.0,30.0,39.0,496.0,13.9
ALBANIA,2007,2.0,24.0,3.0,29.0,93.1,258.0,21.0,18.0,297.0,13.1
ALBANIA,2008,7.0,19.0,2.0,28.0,75.0,210.0,25.0,22.0,257.0,18.3
ALBANIA,2009,9.0,27.0,3.0,39.0,76.9,204.0,17.0,30.0,251.0,18.7
ALBANIA,2010,4.0,21.0,2.0,27.0,85.2,166.0,17.0,29.0,212.0,21.7
ALBANIA,2011,10.0,23.0,2.0,35.0,71.4,180.0,19.0,50.0,249.0,27.7
ALBANIA,2012,6.0,21.0,3.0,30.0,80.0,137.0,17.0,47.0,201.0,31.8
ALBANIA,2013,3.0,15.0,1.0,19.0,84.2,178.0,22.0,259.0,459.0,61.2
ALBANIA,2014,7.0,16.0,2.0,25.0,72.0,165.0,31.0,171.0,367.0,55.0
ALGERIA,2003,4.0,15.0,2.0,21.0,81.0,196.0,20.0,23.0,239.0,18.0
ALGERIA,2004,1.0,8.0,0.0,9.0,88.9,44.0,17.0,10.0,71.0,38.0
ALGERIA,2005,0.0,7.0,1.0,8.0,100.0,25.0,10.0,4.0,39.0,35.9
ALGERIA,2006,1.0,10.0,2.0,13.0,92.3,39.0,5.0,3.0,47.0,17.0
ALGERIA,2007,0.0,6.0,0.0,6.0,100.0,39.0,11.0,14.0,64.0,39.1
ALGERIA,2008,3.0,3.0,0.0,6.0,50.0,48.0,13.0,10.0,71.0,32.4
ALGERIA,2009,4.0,5.0,2.0,11.0,63.6,63.0,5.0,10.0,78.0,19.2
ALGERIA,2010,2.0,7.0,0.0,9.0,77.8,33.0,4.0,7.0,44.0,25.0
ALGERIA,2011,1.0,7.0,1.0,9.0,88.9,29.0,5.0,9.0,43.0,32.6
ALGERIA,2012,2.0,9.0,3.0,14.0,85.7,21.0,3.0,8.0,32.0,34.4
ALGERIA,2013,1.0,3.0,0.0,4.0,75.0,22.0,2.0,3.0,27.0,18.5
ALGERIA,2014,2.0,7.0,0.0,9.0,77.8,16.0,2.0,2.0,20.0,20.0
ANDORRA,2003,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0
ANDORRA,2004,0.0,1.0,0.0,1.0,100.0,2.0,0.0,0.0,2.0,0.0
ANDORRA,2006,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,0.0
ANDORRA,2010,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
ANDORRA,2011,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
ANDORRA,2013,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,100.0
ANGOLA,2003,2.0,5.0,2.0,9.0,77.8,52.0,8.0,7.0,67.0,22.4
ANGOLA,2004,1.0,3.0,0.0,4.0,75.0,104.0,8.0,10.0,122.0,14.8
ANGOLA,2005,1.0,3.0,1.0,5.0,80.0,23.0,9.0,2.0,34.0,32.4
ANGOLA,2006,0.0,6.0,0.0,6.0,100.0,17.0,2.0,1.0,20.0,15.0
ANGOLA,2007,0.0,6.0,0.0,6.0,100.0,18.0,8.0,6.0,32.0,43.8
ANGOLA,2008,1.0,4.0,0.0,5.0,80.0,15.0,5.0,3.0,23.0,34.8
ANGOLA,2009,0.0,1.0,1.0,2.0,100.0,22.0,1.0,5.0,28.0,21.4
ANGOLA,2010,0.0,4.0,1.0,5.0,100.0,18.0,4.0,1.0,23.0,21.7
ANGOLA,2011,1.0,4.0,0.0,5.0,80.0,17.0,3.0,1.0,21.0,19.0
ANGOLA,2012,1.0,2.0,2.0,5.0,80.0,12.0,2.0,3.0,17.0,29.4
ANGOLA,2013,0.0,1.0,2.0,3.0,100.0,19.0,3.0,7.0,29.0,34.5
ANGOLA,2014,0.0,0.0,0.0,0.0,,29.0,2.0,1.0,32.0,9.4
ANGUILLA,2003,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
ANGUILLA,2004,0.0,0.0,0.0,0.0,,2.0,1.0,0.0,3.0,33.3
ANGUILLA,2005,1.0,2.0,1.0,4.0,75.0,0.0,0.0,0.0,0.0,
ANGUILLA,2006,0.0,1.0,0.0,1.0,100.0,1.0,0.0,0.0,1.0,0.0
ANGUILLA,2007,1.0,2.0,0.0,3.0,66.7,1.0,0.0,0.0,1.0,0.0
ANGUILLA,2010,1.0,2.0,0.0,3.0,66.7,0.0,0.0,0.0,0.0,
ANGUILLA,2011,1.0,1.0,0.0,2.0,50.0,6.0,0.0,0.0,6.0,0.0
ANGUILLA,2012,2.0,3.0,0.0,5.0,60.0,3.0,0.0,0.0,3.0,0.0
ANGUILLA,2013,1.0,1.0,0.0,2.0,50.0,2.0,0.0,0.0,2.0,0.0
ANGUILLA,2014,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0
ANTIGUA AND BARBUDA,2003,3.0,22.0,5.0,30.0,90.0,5.0,5.0,3.0,13.0,61.5
ANTIGUA AND BARBUDA,2004,6.0,22.0,7.0,35.0,82.9,10.0,5.0,2.0,17.0,41.2
ANTIGUA AND BARBUDA,2005,8.0,24.0,5.0,37.0,78.4,17.0,2.0,0.0,19.0,10.5
ANTIGUA AND BARBUDA,2006,4.0,21.0,1.0,26.0,84.6,12.0,4.0,2.0,18.0,33.3
ANTIGUA AND BARBUDA,2007,4.0,28.0,2.0,34.0,88.2,27.0,6.0,2.0,35.0,22.9
ANTIGUA AND BARBUDA,2008,10.0,22.0,2.0,34.0,70.6,19.0,3.0,4.0,26.0,26.9
ANTIGUA AND BARBUDA,2009,8.0,14.0,4.0,26.0,69.2,30.0,5.0,5.0,40.0,25.0
ANTIGUA AND BARBUDA,2010,7.0,14.0,3.0,24.0,70.8,37.0,5.0,6.0,48.0,22.9
ANTIGUA AND BARBUDA,2011,10.0,11.0,3.0,24.0,58.3,15.0,8.0,6.0,29.0,48.3
ANTIGUA AND BARBUDA,2012,2.0,17.0,5.0,24.0,91.7,7.0,6.0,4.0,17.0,58.8
ANTIGUA AND BARBUDA,2013,5.0,15.0,2.0,22.0,77.3,5.0,1.0,2.0,8.0,37.5
ANTIGUA AND BARBUDA,2014,3.0,14.0,1.0,18.0,83.3,12.0,0.0,0.0,12.0,0.0
ARGENTINA,2003,14.0,26.0,4.0,44.0,68.2,598.0,96.0,49.0,743.0,19.5
ARGENTINA,2004,15.0,41.0,2.0,58.0,74.1,807.0,82.0,31.0,920.0,12.3
ARGENTINA,2005,12.0,33.0,3.0,48.0,75.0,230.0,71.0,16.0,317.0,27.4
ARGENTINA,2006,14.0,26.0,3.0,43.0,67.4,193.0,36.0,13.0,242.0,20.2
ARGENTINA,2007,9.0,33.0,1.0,43.0,79.1,195.0,76.0,41.0,312.0,37.5
ARGENTINA,2008,15.0,27.0,5.0,47.0,68.1,221.0,63.0,35.0,319.0,30.7
ARGENTINA,2009,15.0,41.0,8.0,64.0,76.6,252.0,66.0,42.0,360.0,30.0
ARGENTINA,2010,15.0,35.0,8.0,58.0,74.1,267.0,42.0,42.0,351.0,23.9
ARGENTINA,2011,18.0,45.0,5.0,68.0,73.5,154.0,57.0,44.0,255.0,39.6
ARGENTINA,2012,9.0,29.0,9.0,47.0,80.9,82.0,27.0,32.0,141.0,41.8
ARGENTINA,2013,11.0,20.0,6.0,37.0,70.3,112.0,19.0,36.0,167.0,32.9
ARGENTINA,2014,1.0,22.0,8.0,31.0,96.8,85.0,11.0,22.0,118.0,28.0
ARMENIA,2003,13.0,39.0,8.0,60.0,78.3,640.0,79.0,71.0,790.0,19.0
ARMENIA,2004,14.0,46.0,8.0,68.0,79.4,577.0,20.0,71.0,668.0,13.6
ARMENIA,2005,20.0,32.0,6.0,58.0,65.5,422.0,12.0,29.0,463.0,8.9
ARMENIA,2006,12.0,33.0,6.0,51.0,76.5,279.0,16.0,66.0,361.0,22.7
ARMENIA,2007,8.0,49.0,6.0,63.0,87.3,257.0,31.0,67.0,355.0,27.6
ARMENIA,2008,12.0,39.0,3.0,54.0,77.8,257.0,17.0,39.0,313.0,17.9
ARMENIA,2009,31.0,32.0,5.0,68.0,54.4,232.0,11.0,28.0,271.0,14.4
ARMENIA,2010,17.0,59.0,10.0,86.0,80.2,190.0,9.0,19.0,218.0,12.8
ARMENIA,2011,8.0,49.0,9.0,66.0,87.9,129.0,15.0,24.0,168.0,23.2
ARMENIA,2012,18.0,46.0,17.0,81.0,77.8,78.0,9.0,22.0,109.0,28.4
ARMENIA,2013,24.0,39.0,13.0,76.0,68.4,83.0,16.0,14.0,113.0,26.5
ARMENIA,2014,22.0,30.0,18.0,70.0,68.6,84.0,14.0,48.0,146.0,42.5
ARUBA,2003,2.0,1.0,0.0,3.0,33.3,1.0,0.0,1.0,2.0,50.0
ARUBA,2004,1.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,
ARUBA,2005,0.0,2.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,
ARUBA,2006,1.0,1.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,
ARUBA,2007,0.0,2.0,0.0,2.0,100.0,1.0,0.0,0.0,1.0,0.0
ARUBA,2008,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,0.0
ARUBA,2009,1.0,2.0,0.0,3.0,66.7,0.0,0.0,1.0,1.0,100.0
ARUBA,2010,0.0,2.0,1.0,3.0,100.0,4.0,1.0,0.0,5.0,20.0
ARUBA,2011,0.0,1.0,1.0,2.0,100.0,1.0,0.0,0.0,1.0,0.0
ARUBA,2012,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,100.0
ARUBA,2014,1.0,1.0,1.0,3.0,66.7,2.0,1.0,0.0,3.0,33.3
AUSTRALIA,2003,6.0,8.0,2.0,16.0,62.5,34.0,8.0,2.0,44.0,22.7
AUSTRALIA,2004,9.0,6.0,2.0,17.0,47.1,26.0,5.0,2.0,33.0,21.2
AUSTRALIA,2005,5.0,7.0,0.0,12.0,58.3,13.0,4.0,2.0,19.0,31.6
AUSTRALIA,2006,4.0,10.0,2.0,16.0,75.0,43.0,5.0,6.0,54.0,20.4
AUSTRALIA,2007,2.0,14.0,0.0,16.0,87.5,45.0,11.0,8.0,64.0,29.7
AUSTRALIA,2008,3.0,5.0,0.0,8.0,62.5,71.0,7.0,4.0,82.0,13.4
AUSTRALIA,2009,8.0,13.0,0.0,21.0,61.9,79.0,8.0,3.0,90.0,12.2
AUSTRALIA,2010,8.0,14.0,1.0,23.0,65.2,74.0,8.0,1.0,83.0,10.8
AUSTRALIA,2011,5.0,4.0,1.0,10.0,50.0,35.0,7.0,7.0,49.0,28.6
AUSTRALIA,2012,7.0,11.0,1.0,19.0,63.2,16.0,6.0,5.0,27.0,40.7
AUSTRALIA,2013,2.0,16.0,0.0,18.0,88.9,14.0,2.0,4.0,20.0,30.0
AUSTRALIA,2014,3.0,7.0,1.0,11.0,72.7,15.0,8.0,1.0,24.0,37.5
AUSTRIA,2003,3.0,5.0,1.0,9.0,66.7,25.0,5.0,0.0,30.0,16.7
AUSTRIA,2004,2.0,3.0,0.0,5.0,60.0,7.0,4.0,2.0,13.0,46.2
AUSTRIA,2005,4.0,2.0,1.0,7.0,42.9,5.0,4.0,0.0,9.0,44.4
AUSTRIA,2006,1.0,1.0,0.0,2.0,50.0,19.0,3.0,1.0,23.0,17.4
AUSTRIA,2007,3.0,4.0,0.0,7.0,57.1,7.0,2.0,2.0,11.0,36.4
AUSTRIA,2008,1.0,3.0,1.0,5.0,80.0,9.0,2.0,2.0,13.0,30.8
AUSTRIA,2009,1.0,3.0,0.0,4.0,75.0,10.0,1.0,2.0,13.0,23.1
